turn,se,model_output,timer_reset_time
1,0,1.05376671395461,21.5235109329224
2,0.0182498693466187,1.16513863211289,23.5951869487762
3,0.0492836236953735,0.724831690204262,25.8272838592529
4,-0.0637580156326294,1.14997534766944,27.405063867569
5,0.0659381151199341,0.965938408865964,29.5737419128418
6,-0.0386574268341064,0.907888597203579,31.5833687782288
7,-0.0647670030593872,1.02140780082882,33.5291030406952
8,-0.0302971601486206,1.06455960680249,35.6328868865967
9,0.0444289445877075,1.31341074938487,37.6735508441925
10,0.0146423578262329,1.26230134516225,40.2718000411987
11,0.0432020425796509,0.821809263404697,42.7106258869171
12,-0.110940933227539,1.41443327986072,44.5765478610992
13,0.115679502487183,0.956860920007428,47.1745188236237
14,-0.0639374256134033,1.05763193829444,49.2165858745575
15,-0.0102585554122925,1.0817328457949,51.3527889251709
16,0.0695357322692871,0.909967661900735,53.3775629997253
17,0.0169943571090698,0.970591208069299,55.1639459133148
18,-0.0175234079360962,1.16649316871464,57.1405749320984
19,0.0580004453659058,1.08290300361414,59.3579838275909
20,0.0792586803436279,1.06246056099933,61.3657648563385
21,0.0656833648681641,1.00146634849264,63.3598139286041
22,0.0212583541870117,0.857992953544484,65.3206589221954
23,-0.0423109531402588,1.11403481827314,67.1219627857208
