turn,se,model_output,timer_reset_time
1,-0.565375924110413,1.5391763806138,23.7031149864197
2,-0.061227560043335,0.886206323198656,27.1181268692017
3,-0.466179609298706,1.43761451213917,30.036584854126
4,-0.20304012298584,1.11990347182908,33.5305910110474
5,-0.328611850738525,1.2306912202218,36.6407270431519
6,-0.378071427345276,1.26243126177888,40.070426940918
7,-0.377402544021606,1.32404683309001,43.5634098052979
8,-0.299899458885193,1.09963588529689,47.0244460105896
9,-0.396970510482788,1.49339345274595,50.2303500175476
10,-0.194815397262573,1.24682140740812,53.8194561004639
11,-0.297774910926819,1.29577212576256,57.1215271949768
12,-0.264705181121826,1.26122807251898,60.4555139541626
13,-0.242540121078491,1.16272376262208,63.6762261390686
14,-0.366003632545471,1.46787216075833,66.9462840557098
15,-0.188802480697632,1.17548073274686,70.472489118576
16,-0.28935968875885,1.21790667238013,73.6154952049255
17,-0.278319478034973,1.41345805487764,76.8214728832245
18,-0.194846153259277,1.17236904765402,80.2510960102081
19,-0.260775685310364,1.20187278223828,83.3304970264435
20,-0.287022471427917,1.25764711165438,86.5213570594788
21,-0.263503074645996,1.1787104502822,89.7763841152191
22,-0.328471064567566,1.21645823444319,93.0040249824524
23,-0.254233241081238,1.50683321029307,96.1584861278534
