turn,se,model_output,timer_reset_time
1,-0.515785813331604,1.54653932925543,23.895042181015
2,-0.0271409749984741,0.901429139063269,27.2564589977264
3,-0.362035989761353,1.27548918670587,29.9960331916809
4,-0.164450645446777,1.14679723402363,33.0885150432587
5,-0.220295429229736,1.2994370353926,36.0364651679993
6,-0.283265471458435,1.15006502932691,39.4153120517731
7,-0.295836448669434,1.06284973308893,42.5220592021942
8,-0.416180491447449,1.27127076216357,45.6931190490723
9,-0.271676421165466,1.30502750447205,48.9922330379486
10,-0.205898404121399,1.24503376456469,52.2272062301636
11,-0.273959398269653,1.31912734016248,55.4784619808197
12,-0.214663505554199,1.20163504023963,58.7592959403992
13,-0.245380759239197,1.26374966882539,61.8661689758301
14,-0.278893947601318,1.23127864593941,65.1640560626984
15,-0.248092412948608,1.3342945741043,68.3349521160126
16,-0.232141852378845,1.09597240529177,71.6812381744385
17,-0.319521427154541,1.36502438279897,74.7242429256439
18,-0.113764643669128,1.02889370567576,77.8941810131073
19,-0.314631462097168,1.28114276820076,80.7940340042114
20,-0.17312479019165,1.22840312478611,83.9148941040039
21,-0.187472105026245,1.29138117037674,86.9591600894928
22,-0.139801740646362,1.02803787231984,90.0337491035461
23,-0.251758813858032,1.37782468477012,92.8054871559143
